Geneid	gene_name	Fast_A3_1Aligned.sortedByCoord.out.bam	OF_A7_1Aligned.sortedByCoord.out.bam	s_3DPF_C4_1Aligned.sortedByCoord.out.bam	OFF_A10_1Aligned.sortedByCoord.out.bam	Fast_A6_1Aligned.sortedByCoord.out.bam	OFF_A13_1Aligned.sortedByCoord.out.bam	OF_A8_1Aligned.sortedByCoord.out.bam	s_3DPF_A4_1Aligned.sortedByCoord.out.bam
LOC103049694	NA	212	314	327	283	274	283	360	256
TOX2	NA	304	291	337	369	374	328	265	266
LDB1	NA	947	913	959	1292	1210	1450	836	901
LOC103057462	NA	215	158	179	235	212	273	173	151
PPRC1	NA	61	250	251	112	97	136	244	324
LOC112540882	NA	12	9	3	8	6	5	11	14
LCOR	NA	132	107	154	152	134	169	233	149
SLIT1	NA	21	19	15	31	29	33	44	32
LOC112540893	NA	0	1	0	3	2	4	5	3
ARHGAP19	NA	0	160	33	11	0	0	141	9
RRP12	NA	1688	1640	1246	1759	2118	1893	1223	1210
PGAM1	NA	1769	3150	3434	2062	2076	1971	3068	3376
EXOSC1	NA	339	305	388	457	426	421	498	382
ZDHHC16	NA	361	411	359	437	441	438	420	337
MMS19	NA	1165	918	758	1291	1514	1331	751	653
UBTD1	NA	60	97	116	84	78	73	94	92
ANKRD2	NA	27	12	22	29	21	23	28	19
LOC112541004	NA	1	0	1	0	3	1	2	0
HOGA1	NA	9	20	19	13	16	4	23	24
MORN4	NA	8	47	40	14	8	11	62	50
PI4K2A	NA	104	250	156	145	126	138	177	166
AVPI1	NA	142	464	476	159	185	137	545	392
MARVELD1	NA	97	121	187	122	90	131	177	153
ZFYVE27	NA	327	245	456	569	418	471	403	454
SFRP5	NA	11	13	21	35	17	32	7	8
GOLGA7B	NA	0	1	0	0	0	0	0	0
CRTAC1	NA	1	2	8	0	3	0	2	3
LOC112541301	NA	0	0	0	0	0	0	0	0
R3HCC1L	NA	349	229	429	658	541	611	247	350
LOXL4	NA	8	7	11	18	14	21	3	9
PYROXD2	NA	501	322	691	744	718	563	573	675
HPS1	NA	640	521	656	894	734	976	765	735
HPSE2	NA	940	1377	1304	1231	1145	1414	1359	1523
CNNM1	NA	932	1247	1295	1121	1126	1237	1288	1454
GOT1	NA	8445	21889	19579	10419	9866	11530	20767	20716
NKX2-3	NA	3	1	4	2	2	8	4	9
LOC112541325	NA	1	0	1	3	2	0	2	1
ROPN1	NA	3	0	4	1	7	4	3	9
LOC112541318	NA	12	8	21	23	15	24	23	27
CCDC14	NA	61	33	81	135	136	130	120	84
LOC103061405	NA	0	0	0	0	0	0	0	0
MYLK	NA	227	283	368	388	335	586	611	330
HACD2	NA	286	310	503	390	319	478	553	579
ADCY5	NA	615	836	818	1125	1210	1637	661	1117
SEC22A	NA	138	244	217	176	169	184	225	210
PDIA5	NA	977	377	592	1427	909	1357	669	782
IGF1	NA	0	1	24	1	0	0	1	12
PMCH	NA	0	0	0	0	1	0	4	0
PARPBP	NA	18	29	28	23	18	18	46	18
NUP37	NA	374	296	712	578	486	578	797	691
WASHC3	NA	517	923	1021	865	644	847	1155	999
DRAM1	NA	106	198	177	189	151	200	241	205
GNPTAB	NA	1367	1110	1588	1720	1662	2307	2522	2051
SYCP3	NA	1081	963	1913	1809	1486	1895	2143	2208
CHPT1	NA	611	792	1130	1071	701	930	1335	1138
MYBPC1	NA	2	3	6	1	0	2	1	0
SPIC	NA	0	0	0	1	1	0	0	0
PARP12	NA	273	327	435	927	332	473	503	470
TBXAS1	NA	11	17	25	6	10	9	25	32
HIPK2	NA	364	747	522	421	388	435	783	384
LOC112541679	NA	28	68	72	46	32	40	69	55
DMAP1	NA	182	259	290	239	212	228	284	262
KLF18	NA	487	504	274	411	321	636	391	306
SLC6A9	NA	175	229	233	110	298	220	214	251
CCDC24	NA	17	12	15	17	37	22	13	29
LOC103050350	NA	6	3	3	0	2	1	5	7
B4GALT2	NA	259	786	630	523	355	514	690	459
ATP6V0B	NA	1008	1691	1678	1507	1423	1590	1750	1643
DPH2	NA	187	215	214	385	328	412	197	218
IPO13	NA	202	277	268	293	262	337	244	306
ARTN	NA	58	436	273	120	79	103	221	514
ST3GAL3	NA	297	363	634	467	301	500	700	580
KDM4A	NA	704	1074	862	1044	788	1042	981	809
PTPRF	NA	198	257	328	495	202	376	407	338
LOC107326373	NA	0	1	0	0	0	0	0	0
FMR1	NA	1189	1704	1587	1934	1478	1861	2516	1395
FMR1NB	NA	1	0	0	0	0	0	0	0
AFF2	NA	33	66	46	27	51	48	55	47
IDS	NA	444	1004	600	579	703	708	785	543
TMEM185A	NA	477	589	557	696	583	707	608	635
LOC103054210	NA	10	4	17	13	9	30	13	20
LOC103051690	NA	67	114	94	100	68	106	104	74
MAMLD1	NA	386	504	440	573	544	554	569	432
MTM1	NA	887	844	1037	1325	1157	1484	1275	1097
MTMR1	NA	1428	1924	2365	2145	2155	2241	2233	2078
CD99L2	NA	1613	3153	2162	3521	2655	3405	3927	2150
RPL3	NA	15848	16149	15239	24491	20834	19161	14965	14740
LOC112542510	NA	0	4	4	4	1	2	1	2
LOC112542517	NA	19	7	20	24	21	33	23	16
SYNGR1	NA	622	360	686	708	549	781	820	796
TAB1	NA	167	219	203	271	206	241	208	224
MGAT3	NA	57	68	72	62	43	103	108	76
LOC112542262	NA	17	31	29	33	29	72	58	29
MIEF1	NA	504	757	912	822	566	854	897	846
ATF4	NA	3641	2890	3716	6158	4330	5489	4341	4303
RPS19BP1	NA	183	180	254	292	224	318	304	264
CACNA1I	NA	5	7	5	0	0	5	2	1
ENTHD1	NA	0	2	1	4	0	2	4	6
GRAP2	NA	21	17	20	35	9	13	44	22
FAM83F	NA	1	0	2	0	1	3	1	0
LOC103057386	NA	8	9	4	10	9	16	4	5
TNRC6B	NA	149	193	151	70	128	105	126	138
LOC112542440	NA	842	343	895	1265	1060	1282	876	960
ADSL	NA	1895	2922	1766	2271	2406	2480	2118	1697
SGSM3	NA	677	790	1099	1070	857	978	1157	1179
MKL1	NA	487	729	912	613	560	778	849	772
ELMOD3	NA	274	270	305	411	403	414	328	310
LOC103066503	NA	0	0	0	0	0	5	1	0
TGOLN2	NA	1866	2249	2872	2664	2464	2773	3018	2754
TCF7L1	NA	515	411	496	712	711	666	619	564
DBNL	NA	1790	2441	2658	2665	2576	2799	2355	2303
LOC103066969	NA	26	31	32	24	18	32	61	46
CAPG	NA	212	471	352	331	375	240	423	427
LOC112543128	NA	27	46	36	36	24	32	69	34
AEBP1	NA	3065	5191	5774	5671	4046	4154	6079	4615
POLD2	NA	186	716	546	433	307	367	739	460
MYL7	NA	138551	134096	206900	302781	185916	173268	202965	239247
GCK	NA	2	4	0	5	13	2	4	3
YKT6	NA	644	1269	1106	1022	852	1108	1282	1022
CAMK2B	NA	2025	1175	2491	1795	1734	2224	2262	2181
NUDCD3	NA	1298	2272	2047	2068	1601	1805	2190	2030
LOC103067201	NA	9	11	16	3	7	17	7	22
PGAM2	NA	7366	7519	7651	10196	9975	11192	7813	8285
PPIA	NA	5198	10543	10679	7030	7038	6427	11294	10662
ZMIZ2	NA	1878	1976	1595	1902	2365	2397	2532	1489
OGDH	NA	7747	14541	18185	9546	8524	11484	15493	20384
LOC112543154	NA	1	0	0	0	1	0	0	0
LOC112543179	NA	0	0	0	0	0	0	0	0
FAM118B	NA	266	259	429	479	361	379	478	453
SRPRA	NA	772	2028	1532	1135	1030	1154	1707	1458
FOXRED1	NA	552	691	846	782	689	881	894	1055
TIRAP	NA	345	459	375	556	351	500	573	407
DCPS	NA	385	815	586	571	313	558	1017	571
LOC103066336	NA	10	36	15	19	17	19	36	26
LOC112543265	NA	8	62	33	6	14	42	50	24
LOC112543287	NA	1	0	1	0	4	0	0	3
LOC112543403	NA	1	0	0	0	0	0	0	1
ESRRG	NA	106	117	108	135	84	171	210	90
USH2A	NA	1	6	2	3	2	6	8	1
KCTD3	NA	531	1007	995	1028	788	904	1329	866
PRIM2	NA	29	147	87	58	25	39	151	72
RAB23	NA	249	224	521	441	343	482	480	579
BAG2	NA	68	173	170	245	84	110	199	209
LOC103050101	NA	173	131	189	431	230	210	226	188
LOC103050351	NA	55	65	40	110	44	84	63	58
DST	NA	9071	4125	9304	10153	10022	10692	10061	9997
COL21A1	NA	13	41	40	32	37	67	55	50
LOC103058660	NA	1	15	27	5	3	13	25	74
LOC103051068	NA	29387	96992	80028	58122	26680	16616	101860	82458
LOC103051307	NA	150	851	9269	35	483	47	841	3266
CLCN6	NA	631	1108	2207	895	860	902	1022	1596
MTHFR	NA	1294	1850	2215	1446	1952	2314	1497	2851
CUNH1orf167	NA	128	228	149	255	229	135	215	127
AGTRAP	NA	180	449	357	337	208	185	522	390
MAD2L2	NA	313	469	292	456	602	364	291	206
DRAXIN	NA	13	53	39	13	23	9	26	26
LOC103059618	NA	166	341	297	381	233	202	323	279
LOC103059870	NA	24	247	186	65	84	37	137	228
DISP3	NA	33	13	90	21	93	5	3	247
UBIAD1	NA	574	1449	1033	808	785	732	1122	862
LOC103060342	NA	174	303	195	245	228	358	229	214
LOC112540039	NA	11	2	3	0	3	17	9	4
LOC103052803	NA	249	380	228	341	390	371	315	253
MTOR	NA	974	1701	1261	1624	1233	1654	1244	1312
EXOSC10	NA	1024	1313	1091	1813	1361	1438	998	926
SRM	NA	264	672	521	474	392	406	587	516
LOC103061072	NA	3	0	2	7	0	5	0	0
MASP2	NA	30	33	45	30	24	41	44	35
TARDBP	NA	925	874	1188	1800	1330	1570	1560	1580
CASZ1	NA	1376	1473	1250	1578	1399	2284	1224	1389
LOC112540049	NA	1194	1318	900	1294	2136	1675	791	1217
PEX14	NA	344	666	521	458	376	407	532	536
DFFA	NA	104	208	186	170	140	142	157	219
LOC103055091	NA	17	256	141	61	44	36	434	88
PGD	NA	1670	2205	1925	2267	2686	2131	2012	1839
KIF1B	NA	5611	8920	8324	8969	7092	8590	10631	9322
UBE4B	NA	2617	2304	1968	3791	3208	4091	2348	1914
RBP7	NA	288	231	282	401	407	428	294	312
NMNAT1	NA	634	798	699	927	725	798	728	696
LZIC	NA	3281	4722	5189	4768	4135	4733	5413	5351
CTNNBIP1	NA	2712	5329	3769	4338	3646	3452	4557	3273
CLSTN1	NA	3055	4218	3538	3616	4059	4027	3765	3486
PIK3CD	NA	103	290	204	138	185	117	148	214
PPWD1	NA	324	206	382	623	403	497	441	430
CENPK	NA	0	38	12	2	4	5	98	14
ADAMTS6	NA	487	166	355	433	754	738	323	333
CWC27	NA	496	451	699	708	674	662	715	639
SREK1IP1	NA	154	83	189	230	212	274	189	187
RGS7BP	NA	2239	2527	2436	3261	3103	3407	2732	2459
RNF180	NA	5	30	59	23	20	51	67	54
HTR1A	NA	0	2	0	0	0	0	0	0
SKAP1	NA	14	24	7	12	15	9	20	4
SNX11	NA	270	537	477	523	323	474	573	471
CBX1	NA	451	648	611	727	656	631	754	643
NFE2L1	NA	1142	1433	1174	1955	1225	1682	1320	1274
COPZ2	NA	947	673	927	1151	1336	1086	904	946
CDK5RAP3	NA	955	688	698	1173	1340	1315	685	662
PRR15L	NA	0	0	0	0	0	2	4	0
PNPO	NA	455	708	640	537	568	705	659	638
SP2	NA	479	533	497	667	594	771	571	520
SP6	NA	6	1	3	2	4	13	1	7
SCRN2	NA	45	58	53	35	58	48	58	45
LRRC46	NA	18	47	41	42	73	29	52	69
MRPL10	NA	590	543	615	761	755	738	853	653
OSBPL7	NA	542	551	620	756	634	805	761	560
TBX21	NA	0	1	0	1	0	0	0	0
LOC112540108	NA	0	0	0	0	0	0	0	0
LOC103052003	NA	98	91	142	153	131	171	176	236
MAP3K2	NA	93	148	123	44	55	46	137	69
PECR	NA	1674	1757	2507	3098	2525	2885	2423	2599
TMEM169	NA	27	29	18	53	39	30	37	16
XRCC5	NA	224	441	433	364	344	388	408	395
MARCH4	NA	0	2	3	0	0	0	1	2
TRNAL-AAG	NA	0	0	0	0	0	0	0	0
SMARCAL1	NA	180	260	262	294	205	282	325	261
RPL37A	NA	8552	4095	6820	9693	11736	12059	6543	8159
IGFBP2	NA	2	248	20	9	0	1	126	7
IGFBP5	NA	1725	8458	4124	2321	2342	2064	7441	4182
LOC103055961	NA	382	203	427	422	501	472	501	449
ATP5PO	NA	3974	8586	11505	5619	4849	4981	11049	12748
MRPS6	NA	616	2979	3427	1243	846	1225	4893	3529
SLC5A3	NA	19	111	65	36	16	22	145	46
SMIM11A	NA	601	478	607	746	629	661	859	548
KCNE2	NA	1	0	1	1	1	5	4	0
FAM243A	NA	8	26	25	15	9	7	6	12
KCNE1	NA	0	0	0	0	0	0	0	2
RCAN1	NA	860	1133	1186	993	583	842	1700	1238
CLIC6	NA	1	14	1	0	3	4	11	1
RUNX1	NA	7	25	22	11	8	29	43	29
LOC112540121	NA	1	0	0	0	0	0	0	0
LOC112540124	NA	0	0	0	0	0	0	0	0
SETD4	NA	66	66	145	121	116	133	145	114
ANKS1B	NA	1	4	1	1	2	0	1	3
APAF1	NA	405	248	393	672	462	570	434	465
IKBIP	NA	573	426	923	919	792	990	830	1052
SLC25A3	NA	71276	74683	66739	81818	93387	81059	77807	80705
LOC112540160	NA	27	4	42	62	22	54	31	53
LOC112540155	NA	141	100	216	184	107	212	157	222
TMPO	NA	423	360	424	650	538	595	640	480
TRNAW-CCA	NA	0	0	0	0	0	0	0	0
TRNAD-GUC	NA	0	0	0	0	0	0	0	0
TRNAD-GUC_1	NA	0	0	0	0	0	0	0	0
LOC107326037	NA	7	3	2	2	4	0	6	0
AKR1A1	NA	362	810	781	531	414	505	845	812
PRDX1	NA	520	2909	2041	897	679	744	2853	2104
LOC103061551	NA	9	40	13	33	32	37	33	27
HPDL	NA	2	26	5	6	0	6	22	12
MUTYH	NA	126	158	213	254	220	191	208	197
TOE1	NA	733	525	1016	1285	890	1268	1007	1012
TESK2	NA	515	335	589	679	633	808	544	464
LOC103062906	NA	47	100	110	80	50	56	162	113
LOC103063151	NA	304	367	396	430	352	431	527	380
MMACHC	NA	155	244	268	221	138	230	319	269
ZSWIM5	NA	311	313	383	409	458	498	417	426
LOC112540189	NA	15	11	8	11	12	20	10	28
UROD	NA	320	680	445	520	442	488	537	372
HECTD3	NA	558	989	846	768	743	812	995	813
PTCH2	NA	2	8	13	12	4	12	26	18
EIF2B3	NA	473	484	443	571	612	517	482	474
BTBD19	NA	118	151	189	164	123	251	320	151
TCTEX1D4	NA	0	0	0	0	0	1	1	0
PLK3	NA	102	248	206	155	101	252	206	238
LOC103065853	NA	387	640	694	579	507	832	1094	784
LOC112540196	NA	159	236	230	79	178	168	200	287
BEST4	NA	75	245	144	97	78	139	190	180
RPS8	NA	20023	17298	19421	27257	33997	25687	19074	24212
LOC112540202	NA	5	0	7	12	10	16	8	11
LOC112540203	NA	2	0	0	11	5	10	4	5
GPBP1L1	NA	1430	1228	1374	2089	1859	1934	1551	1366
TMEM69	NA	174	232	269	188	192	186	280	283
IPP	NA	230	363	360	345	263	347	357	407
LOC103048039	NA	0	1	1	0	0	0	1	1
LOC103048274	NA	34	52	67	31	26	46	54	61
S1PR1	NA	3942	1753	2715	4726	3582	3261	3329	2974
LOC103049047	NA	434	968	941	731	585	660	1227	901
DPH5	NA	474	627	772	753	617	691	864	829
SLC30A7	NA	103	154	184	148	94	145	237	208
EXTL2	NA	396	579	598	638	567	494	799	551
CDC14A	NA	132	86	118	191	119	195	146	132
GPR88	NA	0	3	0	2	0	0	0	0
VCAM1	NA	85	247	273	387	110	196	283	221
RTCA	NA	751	1187	1321	923	982	1046	1460	1426
DBT	NA	333	669	568	408	315	454	754	647
LRRC39	NA	1036	578	730	1523	1444	1519	783	583
TRMT13	NA	677	358	573	1010	983	1087	588	530
SASS6	NA	39	72	54	63	38	71	127	53
MFSD14A	NA	425	762	652	608	423	602	763	615
SLC35A3	NA	111	110	217	184	152	147	176	185
LOC103054457	NA	11	0	8	7	46	26	7	12
MTF2	NA	708	273	769	821	942	1029	752	686
TMED5	NA	153	203	322	309	200	272	421	393
LOC103057310	NA	94	78	87	166	136	129	117	116
COL9A2	NA	33	5	25	35	22	13	23	18
SMAP2	NA	299	1356	987	669	412	418	1381	726
RIMS3	NA	3	0	4	1	0	0	0	0
NFYC	NA	2061	2756	3003	2529	2954	2673	2876	2743
KCNQ4	NA	8	4	5	6	7	21	5	6
TINAGL1	NA	2086	7206	4459	2618	2620	4622	6254	4474
PEF1	NA	1119	2893	2151	1819	1600	1819	2431	2136
COL16A1	NA	292	1505	1448	598	513	524	1519	1618
LOC103060110	NA	5	10	10	0	3	4	8	17
LOC112540241	NA	0	0	0	0	0	1	0	0
NUDT14	NA	27	52	62	77	57	60	53	81
JAG2	NA	763	542	1050	845	957	2181	1156	988
GPR132	NA	15	19	25	28	17	16	44	31
CDCA4	NA	288	351	616	473	319	476	666	612
LOC112540248	NA	6	2	6	5	0	4	4	9
LOC103061074	NA	169	109	178	225	142	245	188	230
CLBA1	NA	74	160	167	131	120	185	214	173
ADSSL1	NA	2262	1294	3049	3185	2649	3615	2679	2943
SIVA1	NA	160	198	243	287	215	237	323	271
AKT1	NA	585	720	840	794	701	911	911	967
FAM193B	NA	233	258	222	355	263	430	222	203
DDX41	NA	666	974	765	860	781	944	938	764
DOK3	NA	44	81	42	72	52	59	74	44
PDLIM7	NA	3826	4599	12135	3698	5277	6292	6407	17522
DBN1	NA	375	2124	1693	926	439	809	2207	1894
PRR7	NA	636	1529	1525	797	869	1437	999	1463
GRK6	NA	158	197	301	244	159	216	230	345
LOC112540305	NA	0	1	2	8	5	5	2	0
F12	NA	0	1	0	2	2	2	1	3
LOC103065281	NA	124	325	246	236	189	131	159	340
SLC34A1	NA	0	0	0	1	2	0	3	0
LOC112540257	NA	13	61	40	19	23	33	96	25
RGS14	NA	41	78	72	86	37	35	95	74
LOC103050984	NA	24	23	32	32	21	29	58	50
LOC112540259	NA	1	2	3	5	4	5	0	2
LMAN2	NA	1495	1860	2188	2136	2078	1989	2214	2113
TMED9	NA	1324	2624	2668	2006	1675	1859	2674	2649
B4GALT7	NA	14	54	45	31	23	27	71	49
LOC112540281	NA	7	29	42	18	14	16	24	51
N4BP3	NA	28	71	68	64	33	84	85	59
RMND5B	NA	193	294	400	287	281	343	372	358
NHP2	NA	182	216	230	266	236	294	240	219
BRD8	NA	590	516	559	850	776	865	451	561
LOC112540289	NA	39	6	19	49	64	41	2	16
KIF20A	NA	14	398	48	24	10	22	288	42
CDC23	NA	475	406	475	733	675	776	540	464
LOC112540260	NA	3	1	1	0	5	2	3	5
LOC112540294	NA	5	1	9	10	15	7	4	6
LOC103048579	NA	110	195	176	196	145	710	226	148
CDC25C	NA	0	78	3	0	0	7	33	7
LOC112540306	NA	0	5	8	3	1	7	5	5
LOC112540296	NA	33	68	71	59	50	56	74	48
FAM53C	NA	263	441	542	508	349	349	589	476
LOC103049294	NA	381	682	477	578	380	631	545	639
KDM3B	NA	1419	1586	1619	1911	1745	2208	1555	1721
REEP2	NA	19	44	24	19	18	28	92	37
AASS	NA	246	305	309	352	185	334	399	293
FEZF1	NA	0	0	0	0	0	0	0	0
CADPS2	NA	512	553	887	468	876	783	681	852
LOC103054212	NA	0	0	2	3	0	2	1	2
SLC13A1	NA	0	0	0	0	1	0	0	0
LOC103054933	NA	0	0	0	0	0	0	0	0
IQUB	NA	21	9	15	30	39	40	37	20
NDUFA5	NA	3133	4185	6830	4018	3931	3617	6003	8202
ASB15	NA	1464	2451	2902	2453	1617	2075	3247	3081
LOC112540320	NA	96	70	96	100	100	124	84	83
LMOD2	NA	17297	9320	9039	26048	19416	32595	12539	8426
WASL	NA	1169	1437	1854	1762	1436	1798	2263	1894
LOC112540325	NA	0	0	0	0	0	0	2	0
LOC103053970	NA	0	0	0	0	0	0	0	0
LOC103055413	NA	1	0	0	0	0	1	0	0
OTULIN	NA	213	231	213	346	320	375	313	240
ANKH	NA	1632	2078	2585	2260	1744	2041	2484	2779
LOC112540330	NA	97	13	101	85	140	140	51	140
OTULINL	NA	69	135	124	156	111	167	258	136
TRIO	NA	1058	683	1198	1343	1019	1431	1071	1215
DNAH5	NA	2	5	3	0	5	1	8	12
LOC103059621	NA	86	93	109	157	103	88	127	134
AKAP1	NA	1731	4092	2721	2980	2015	2484	4032	3332
NF1	NA	411	680	595	623	480	689	596	662
EVI2B	NA	67	77	68	90	86	70	149	87
OMG	NA	23	155	138	76	22	49	172	112
LOC103057551	NA	1005	749	1254	722	1426	412	750	668
WSB1	NA	7389	7372	13638	12165	10253	12973	16895	11445
KSR1	NA	270	578	496	593	360	597	546	514
LOC103062260	NA	9	28	32	31	21	15	33	30
NAB1	NA	112	269	295	480	162	435	549	346
GLS	NA	1237	1154	1599	3332	1759	2132	2238	1575
STAT1	NA	904	1672	1610	14173	979	1383	2297	1568
STAT4	NA	107	64	95	554	104	162	98	84
MYO1B	NA	50	194	161	91	66	428	319	147
LOC103062507	NA	0	0	0	0	0	0	0	0
LOC103062985	NA	0	0	0	2	0	0	0	0
NABP1	NA	58	89	91	74	53	213	93	110
CAVIN2	NA	3405	5440	4518	4458	3561	4384	5972	4822
LOC103063223	NA	48	74	50	52	55	52	64	51
MAN1A2	NA	228	371	538	364	274	373	535	559
CASR	NA	0	2	2	0	0	0	1	0
PEX5	NA	800	786	661	949	1014	1029	786	775
LOC103064806	NA	173	281	214	347	227	377	263	209
CLSTN3	NA	182	223	143	218	229	141	222	140
RBP5	NA	143	567	285	372	176	78	485	254
C1R	NA	373	362	308	830	586	447	398	283
C1S	NA	398	174	204	650	624	493	254	218
LPCAT3	NA	279	371	389	518	351	570	463	362
EMG1	NA	295	595	462	542	435	461	572	533
PHB2	NA	1401	3710	3205	1947	1799	1755	3311	3517
PTPN6	NA	156	332	219	255	174	168	282	203
CUNH12orf57	NA	471	734	681	807	689	794	775	873
LOC112540403	NA	25	21	40	32	37	39	36	6
ATN1	NA	856	1450	1222	1143	971	1188	1406	1059
ENO2	NA	37	372	135	43	26	241	584	89
LRRC23	NA	12	67	56	12	10	31	90	61
TPI1	NA	24488	28290	29756	27347	32122	28122	27811	27724
USP5	NA	1024	1995	1426	1555	1331	1567	1722	1500
CDCA3	NA	17	150	16	59	29	32	96	20
GNB3	NA	0	0	0	0	0	0	0	0
P3H3	NA	113	314	265	233	197	184	271	222
GPR162	NA	1	2	2	4	0	0	1	5
LOC112540361	NA	6	0	1	1	4	0	4	4
LAG3	NA	12	10	17	18	10	20	19	12
PTMS	NA	2672	4520	3983	3508	3435	4165	4160	4480
MLF2	NA	607	955	746	875	765	877	908	647
COPS7A	NA	624	1034	786	812	783	897	813	696
PIANP	NA	0	0	3	1	1	2	0	2
ZNF384	NA	1460	1168	1057	1811	2244	1773	1064	1002
SPHKAP	NA	3	4	8	7	3	3	8	11
DAW1	NA	0	0	7	3	3	1	1	1
SLC19A3	NA	19	14	19	20	18	31	29	26
AGFG1	NA	441	608	748	642	607	736	740	690
MRPL44	NA	167	507	337	237	223	183	360	355
MFF	NA	401	621	635	604	422	629	709	609
COL4A3	NA	5	0	2	0	2	1	4	4
COL4A4	NA	1	3	1	1	1	3	0	1
RHBDD1	NA	227	106	260	323	279	356	279	259
IRS1	NA	429	268	406	556	545	713	274	373
NYAP2	NA	0	0	0	0	0	0	0	0
LOC103057312	NA	19	24	27	15	17	37	17	21
LOC103057068	NA	83	75	119	126	129	240	176	111
LOC103062907	NA	0	0	5	0	3	1	1	0
RPL10	NA	16945	18390	16318	21305	23179	21731	15084	16928
